Date,Category,Fund,Amount,Note
2017-02-06,Utilities,Internet,54.85,Comcast
2017-02-06,Food,Restaurants,21,Pelanchos
2017-02-06,Personal,Pocket Money (Jamie),22.51,Salon Centric
2017-02-07,Utilities,Electricity,50.69,Knox Utilities
2017-02-07,Personal,Pocket Money (Darren),166.28,Paypal to CSI
2017-02-07,Utilities,Water,51.16,West Knox Uitilities
2017-02-08,Transportation,Gas & Oil,20.78,Sams Club
2017-02-08,Food,Groceries,14.2,Walmart
2017-02-08,Personal,Pet Supplies,19,Walmart - Litter & Toys
2017-02-08,Housing,Down Payment,18.36,"Coasters, Butter Dish, Valentines"
2017-02-08,Saving,College Fund,60,UT Grad App
2017-02-09,Personal,Gifts (Including Christmas),32.14,Amazon
2017-02-10,Debts,2014 Kia Soul,"3,939.83",
2017-02-10,Transportation,License & Taxes,71,Registration TN 2011
2017-02-10,Personal,Gifts (Including Christmas),1.47,USPS Stamps
2017-02-10,Personal,Gifts (Including Christmas),4.9,USPS Stamps
2017-02-10,Personal,Gifts (Including Christmas),36.86,Amazon
2017-02-11,Food,Restaurants,16.99,Zaxby's
2017-02-12,Personal,Pocket Money (Jamie),122.55,Cash - Jamie - Clothes - BR
2017-02-13,Food,Groceries,5.46,Walmart
2017-02-13,Food,Restaurants,11.94,Subway
2017-02-13,Food,Groceries,33.53,Kroger
2017-02-13,Food,Groceries,80.19,Aldi
2017-02-13,Personal,Cosmetics / Hair Care,25.25,Cash - Cosmoprof
2017-02-14,Food,Restaurants,6.64,McDonalds
2017-02-14,Food,Groceries,5.54,Walmart AA pt 2
2017-02-15,Food,Groceries,6.13,Walmart
2017-02-15,Personal,Gifts (Including Christmas),17.76,Shutterfly
2017-02-15,Personal,Miscellaneous,30,To lauren - shipping charger
2017-02-15,Saving,College Fund,11.93,Walmart
2017-02-16,Food,Restaurants,6.56,Subway
2017-02-16,Saving,College Fund,20,Pizza
2017-02-17,Personal,Pocket Money (Jamie),-100,
2017-02-18,Clothing,Darren (Clothing),52.65,Banana Republic
2017-02-18,Food,Restaurants,43.7,Ober Restaurant
2017-02-18,Personal,Gifts (Including Christmas),21.04,OshKosh
2017-02-18,Clothing,Jamie (Clothing),21.95,Lucky
2017-02-18,Transportation,Gas & Oil,25.41,Gas 2014
2017-02-18,Personal,Pocket Money (Darren),-100,
2017-02-19,Debts,2014 Kia Soul,-859.22,
2017-02-20,Debts,2014 Kia Soul,"-1,849.00",
2017-02-21,Recreational,Entertainment,17.48,Sir Goony's
2017-02-21,Personal,Pocket Money (Jamie),40.07,Famous Footwear
2017-02-21,Debts,2014 Kia Soul,-177,
2017-02-22,Medical / Health,Medications,4,Walmart
2017-02-22,Personal,Pocket Money (Jamie),8.36,Walmart AA pt 1
2017-02-22,Debts,2014 Kia Soul,-189.58,
2017-02-23,Transportation,Gas & Oil,21.46,Gas 2011
2017-02-23,Personal,Pocket Money (Darren),3.27,Itunes
2017-02-23,Medical / Health,Doctor Bills,35,Doctor Co-pay
2017-02-23,Recreational,Weddings,-210,
2017-02-24,Food,Restaurants,42.48,Pelanchos
2017-02-24,Food,Restaurants,5.67,Dunkin Donuts
2017-02-24,Transportation,Gas & Oil,22.98,Gas 2014
2017-02-24,Recreational,Entertainment,5,Cash - Parking
2017-02-24,Food,Restaurants,20,Cash - Olive Garden
2017-02-26,Charity,Tithes,5,ThePoint Church
2017-02-27,Food,Restaurants,6.5,Ray's Place
2017-02-27,Personal,Pocket Money (Jamie),16.46,American Eagle
2017-02-28,Food,Restaurants,28,Chaiyos
2017-02-28,Food,Restaurants,6.17,Waffle House
2017-02-28,,,,
2017-02-28,Saving,College Fund,14.95,Audible
2017-02-28,Saving,College Fund,100.13,Aldi
2017-03-01,Food,Groceries,3.48,Kroger
2017-03-02,Utilities,Phone / Mobile,120,Cell to Mom
2017-03-02,Personal,Gifts (Including Christmas),9.99,Blanket to Joy M
2017-03-02,Personal,Cosmetics / Hair Care,37.11,Amazon - Makeup
2017-03-02,Housing,Rent,877,Rent
2017-03-05,Medical / Health,Medications,9.42,CIGNA - Prozac (March-May)
2017-03-05,Food,Restaurants,11,Casual Pint
2017-03-05,Food,Restaurants,10.65,Double Dogs
2017-03-06,Food,Restaurants,4.13,Panera
2017-03-06,Food,Restaurants,30.57,Stir Fry Cafe
2017-03-06,Medical / Health,Medications,30,CIGNA - Valtrex (March-May)
2017-03-06,Utilities,Internet,54.85,Comcast
2017-03-06,Insurance,Auto Insurance,366.53,Geico
2017-03-06,Food,Restaurants,2.72,McDonalds - Ice Cream
2017-03-06,Personal,Pet Supplies,14,Walmart - Litter
2017-03-06,Food,Groceries,7.7,Walmart - Litter
2017-03-07,Transportation,License & Taxes,71,Knox County Clerk
2017-03-07,Utilities,Water,64.4,Water
2017-03-07,Transportation,Gas & Oil,20,Weigels
2017-03-07,Personal,Pocket Money (Jamie),1.99,iTunes
2017-03-07,Saving,College Fund,1,Parking meter
2017-03-08,Transportation,Gas & Oil,21.43,Sams
2017-03-08,Utilities,Electricity,83.94,Electricity
2017-03-09,Food,Restaurants,12,Cook Out
2017-03-10,Food,Groceries,18.87,ALDI
2017-03-10,Food,Restaurants,2.72,McDonalds - Ice Cream
2017-03-12,Personal,Pocket Money (Jamie),45.65,Banana Republic
2017-03-12,Personal,Pocket Money (Jamie),9.55,Lucky Brand
2017-03-12,Saving,College Fund,3.24,Sams
2017-03-13,Personal,Pocket Money (Jamie),42.89,Target - Shoes and Wallet
2017-03-13,Food,Groceries,61.91,Middlebrook
2017-03-13,Food,Restaurants,27.52,Asia Kitchen
2017-03-14,Food,Groceries,10.64,Kroger
2017-03-14,Food,Groceries,105.68,ALDI
2017-03-14,Saving,College Fund,38.6,
2017-03-16,Food,Groceries,35.15,Walmart
2017-03-16,Food,Restaurants,17.5,Pelanchos
2017-03-16,Saving,College Fund,35.15,Walmart
2017-03-17,Recreational,Entertainment,22.86,Kroger - St Patricks
2017-03-20,Medical / Health,Medications,24.47,Sams Club - Vitamins
2017-03-20,Medical / Health,Doctor Bills,35,Tennova - Strep Test Jamie
2017-03-20,Medical / Health,Medications,19.28,Walmart - Vitamin and Medicine
2017-03-21,Food,Restaurants,3.92,McDonalds
2017-03-21,Food,Restaurants,1.9,McDonalds
2017-03-22,Transportation,Gas & Oil,21.12,Kroger - Gas
2017-03-22,,,25.06,Kroger - Medicine for GMA
2017-03-22,,,-25,GMA paid back in cash
2017-03-22,Personal,Cosmetics / Hair Care,6,Mascara for Jamie
2017-03-22,Recreational,Entertainment,6,Fandango - Beauty and the Beast
2017-03-22,Medical / Health,Dentist,350,Invisalign
2017-03-22,Saving,Emergency Fund,"2,150.00",Invisalign
2017-03-23,Food,Groceries,11.82,Walmart
2017-03-23,Personal,Pocket Money (Jamie),-32.48,Famous Footwear Return
2017-03-24,Food,Restaurants,2.16,Dunkin
2017-03-24,Transportation,Gas & Oil,23.64,Pilot
2017-03-26,Food,Restaurants,4.67,Wendy's (Pilot)
2017-03-26,Personal,Miscellaneous,25.43,Walmart - Total 39.43
2017-03-26,Recreational,Entertainment,16.37,Kroger
2017-03-26,Food,Restaurants,5.46,Little Caesars
2017-03-26,Personal,Pet Supplies,14,Walmart - Total 39.43
2017-03-27,Clothing,Jamie (Clothing),47.37,BR
2017-03-27,Clothing,Jamie (Clothing),8.64,BR
2017-03-27,Clothing,Darren (Clothing),9,BR
2017-03-27,Food,Restaurants,8.61,McDonalds
2017-03-27,Food,Restaurants,1.09,Dunkin
2017-03-27,Food,Restaurants,1.42,Wendy's
2017-03-27,Food,Restaurants,31.22,Stock and Barrel
2017-03-28,Recreational,Entertainment,11,Sierra Nevada
2017-03-29,Recreational,Audible,14.95,Audible
2017-03-29,Personal,Miscellaneous,16.85,Walmart - hangers
2017-03-29,Personal,Miscellaneous,43.57,Walmart - headphones
2017-03-30,Food,Restaurants,14.05,University of TN Aramark
2017-04-01,Transportation,Gas & Oil,24.18,Pilot Travel Centers
2017-04-01,Personal,Gifts (Including Christmas),8.63,Wal-Mart
2017-04-02,Personal,Gifts (Including Christmas),27,Babalu
2017-04-02,Food,Restaurants,5.45,Cook out
2017-04-03,Recreational,Entertainment,32.76,Knoxville Package
2017-04-03,Housing,Rent,877,Rent
2017-04-04,Food,Restaurants,13,Waffle House
2017-04-04,Food,Groceries,3.85,Kroger
2017-04-04,Personal,Gifts (Including Christmas),1.09,Dollar Tree
2017-04-04,Food,Groceries,8.45,Amazon - Lime
2017-04-05,Utilities,Internet,54.85,Comcast
2017-04-05,Food,Groceries,71.07,Aldi
2017-04-06,Food,Groceries,26.75,Sams Club - Fried Rice
2017-04-06,Personal,Pocket Money (Jamie),1.21,Hobby Lobby
2017-04-07,Transportation,Gas & Oil,21.08,Sams Club
2017-04-07,Food,Restaurants,14.69,Full Service Bbq
2017-04-07,Food,Restaurants,8,Pelanchos
2017-04-07,Food,Groceries,27.27,Walmart
2017-04-07,Utilities,Water,66.89,Water
2017-04-08,Personal,Miscellaneous,42.77,Corning Revere - Lodge
2017-04-08,Personal,Miscellaneous,52.4,Running Stuff
2017-04-09,Clothing,Darren (Clothing),4.35,Banana Republic
2017-04-09,Personal,Miscellaneous,71.33,Kirklands - Chair
2017-04-09,Personal,Miscellaneous,5.95,Amazon - Batteries
2017-04-10,Utilities,Electricity,86.9,Knox Utility
2017-04-10,Transportation,Gas & Oil,14.83,Gas
2017-04-10,Personal,Miscellaneous,207.52,Fitbit
2017-04-10,Personal,Miscellaneous,5.35,Dollar Tree (teeth stuff Jamie)
2017-04-12,Personal,Miscellaneous,13.27,Cat Water Pump
2017-04-12,Transportation,Gas & Oil,11.95,Gas
2017-04-13,Food,Restaurants,18,Carolina Ale House
2017-04-13,Food,Groceries,7.64,Kroger
2017-04-14,Food,Groceries,11.78,Sams - Bacon
2017-04-14,Personal,Pocket Money (Jamie),13.1,DSW (Brown Heels)
2017-04-14,Recreational,Vacation,404.4,Delta
2017-04-14,Recreational,Vacation,404.4,Delta
2017-04-14,Personal,Miscellaneous,14.4,Hobby Lobby (Frame)
2017-04-14,Food,Groceries,45.72,ALDI
2017-04-14,Food,Groceries,54.81,Kroger
2017-04-16,Personal,Miscellaneous,13.09,Kroger (flowers and bear)
2017-04-16,Medical / Health,Medications,4.72,Walmart (band-aids and moleskin)
2017-04-16,Personal,Miscellaneous,22.35,Walmart
2017-04-17,Food,Restaurants,17,Pelanchos
2017-04-17,Personal,Gifts (Including Christmas),14.08,Kroger - Easter
2017-04-18,Personal,Pocket Money (Jamie),1.08,Joann (Measuring Tape)
2017-04-19,Transportation,Gas & Oil,22.99,Pilot Travel Centers
2017-04-21,Personal,Gifts (Including Christmas),7.89,Amazon - Jamie's Gift
2017-04-23,Food,Restaurants,6,Double Dogs
2017-04-24,Food,Restaurants,14.63,Pelanchos
2017-04-25,Food,Restaurants,13.1,Marcos
2017-04-25,Personal,Pet Supplies,13.09,Kroger - Cat Food
2017-04-25,Food,Restaurants,2.39,McDonalds
2017-04-25,Personal,Pocket Money (Darren),21.84,Amazon - Castles of Burgundy
2017-04-25,Food,Groceries,11.95,Walmart - Yogurts
2017-04-26,Transportation,Repairs & Tires,1.25,Air for Tires
2017-04-26,Personal,Miscellaneous,45.54,Other
2017-04-26,Food,Groceries,11.99,Lime Stuff
2017-04-27,Food,Groceries,2.54,Walmart - Cheese
2017-04-27,Recreational,Entertainment,16.37,Biscuit Festival
2017-04-27,Food,Groceries,5,Food
2017-04-27,Saving,College Fund,300,Jamie's Class
2017-04-28,Personal,Pet Supplies,13,Litter
2017-04-29,Food,Groceries,4.3,Kroger
2017-04-29,Transportation,Gas & Oil,26.84,Pilot Travel Centers
2017-05-01,Transportation,Gas & Oil,22.96,Sam's - Gas
2017-05-01,Food,Restaurants,8,Scruffy City Hall
2017-05-01,Food,Restaurants,22,Pelanchos
2017-05-01,Personal,Pocket Money (Darren),1.08,iTunes
2017-05-01,Transportation,Car Wash,98.27,Simoniz Car Wash
2017-05-01,Food,Groceries,29.75,Sam's
2017-05-01,Food,Groceries,71.06,Aldi
2017-05-02,Recreational,Entertainment,47.28,Paypal
2017-05-02,Housing,Rent,877,Eagle Pointe
2017-05-03,Food,Restaurants,2.19,Jimmy John's
2017-05-03,Personal,Miscellaneous,90,Hair
2017-05-04,Personal,Gifts (Including Christmas),6.56,Dollar Tree
2017-05-04,Personal,Gifts (Including Christmas),12.65,Walmart - Birthday Stuff
2017-05-04,Personal,Gifts (Including Christmas),1.09,Dollar Tree - Wrapping Paper
2017-05-04,Recreational,Weddings,5.45,Vistaprint
2017-05-05,Utilities,Internet,54.85,Comcast
2017-05-05,Food,Restaurants,1.09,McDonalds
2017-05-05,Recreational,Entertainment,15.39,Movies
2017-05-05,Food,Restaurants,18,Soccer Taco
2017-05-05,Food,Restaurants,10,Pelanchos
2017-05-05,Personal,Pocket Money (Jamie),2.72,Cosmoprof
2017-05-05,Personal,Pocket Money (Jamie),27.06,Salon Centric
2017-05-07,Recreational,Entertainment,2,Parking
2017-05-08,Food,Groceries,4.27,Walmart - Tuna
2017-05-08,Food,Restaurants,3.16,McDonalds
2017-05-08,Food,Groceries,8.61,Aldi
2017-05-08,Personal,Cosmetics / Hair Care,3.84,Sally Beauty
2017-05-08,Transportation,Gas & Oil,26.8,Kroger
2017-05-09,Utilities,Water,67.73,KUB
2017-05-09,Personal,Pocket Money (Darren),70,Kickstarter
2017-05-11,Food,Groceries,15.7,Sams
2017-05-11,Food,Restaurants,6.08,Aldi
2017-05-11,Utilities,Electricity,73.97,Utilities
2017-05-12,Personal,Gifts (Including Christmas),60.19,Michaels
2017-05-12,Food,Restaurants,9.29,Coolato Gelato
2017-05-12,Medical / Health,Medications,60,Cigna
2017-05-14,Food,Restaurants,16,Red Robin
2017-05-15,Transportation,Gas & Oil,23.43,Conoco Kingston Food - Gas
2017-05-15,Food,Restaurants,26,No Way Joses
2017-05-15,Food,Groceries,6.8,Walmart
2017-05-16,Recreational,Weddings,212,Curtis BP
2017-05-16,Transportation,Gas & Oil,22.1,Pilot Travel Center
2017-05-16,Transportation,Gas & Oil,25.07,Kroger Gas Georgia
2017-05-17,Food,Groceries,2,Radishes
2017-05-17,Personal,Pocket Money (Jamie),21.47,Salon Centric - Hair Stuff
2017-05-17,Food,Groceries,54.12,ALDI
2017-05-17,Food,Groceries,56.13,Sams Club
2017-05-17,Food,Groceries,40.67,Walmart
2017-05-17,Saving,College Fund,252,Summer Fees - Darren
2017-05-18,Recreational,Entertainment,6,Parking
2017-05-18,Personal,Books / Supplies,14.77,Amazon - Textbook for MSBA JAMIE
2017-05-18,Recreational,Weddings,30,Darren pants - McKay
2017-05-22,Personal,Pocket Money (Jamie),2.66,Walmart - Elastic for Hair
2017-05-22,Personal,Pocket Money (Jamie),20.62,Cosmoprof - Brittany's Hair
2017-05-22,Personal,Pocket Money (Jamie),-40,Brittany's Hair Payment
2017-05-22,Personal,Pocket Money (Jamie),-60,Brittany's Hair Payment
2017-05-22,Personal,Pocket Money (Jamie),6.41,Walmart - Canvas Shoes
2017-05-22,Food,Restaurants,6.57,Subway
2017-05-22,Food,Restaurants,25,Blueberry Bush - Farmers Market
2017-05-23,Utilities,Phone / Mobile,120,Mom
2017-05-23,Recreational,Weddings,49.99,Amazon - Brittany Bridesmaid Dress
2017-05-24,Personal,Subscriptions (Amazon),49,Amazon Subscription Annual
2017-05-25,Personal,Pocket Money (Jamie),31.13,Target - Sandles
2017-05-25,Personal,Miscellaneous,3.23,Walmart
2017-05-26,Personal,Pet Supplies,14,Walmart - Cat Litter
2017-05-28,Transportation,Gas & Oil,20.48,Kroger Gas
2017-05-28,Transportation,Gas & Oil,21.16,Kroger Gas - GA
2017-05-29,Recreational,Weddings,32.63,Banana Republic - T Shirts
2017-05-29,Clothing,Darren (Clothing),42.75,Banana Republic
2017-05-29,Personal,Pocket Money (Jamie),49,Banana Republic
2017-05-29,Personal,Pocket Money (Jamie),30.7,Nike Store - Running Shoes
2017-05-29,Recreational,Weddings,73.26,Michael Wedding Shoes
2017-05-30,Clothing,Jamie (Clothing),7.09,Charolette Russe - Crop Top
2017-05-30,Food,Restaurants,20,Niks Place
2017-05-30,Food,Restaurants,8.54,Dairy Queen
2017-05-30,Personal,Pocket Money (Darren),1.08,Apple iTunes
2017-05-30,Personal,Miscellaneous,8.34,Walmart - Honeysuckle Candle
2017-05-30,Food,Restaurants,7,Clint for Asia Kitchen
2017-05-30,Recreational,Entertainment,-22,Michael Paid for Movies
2017-05-30,Personal,Miscellaneous,-25,Rewards - Wells Fargo
2017-05-30,Recreational,Weddings,-110,Melissa
2017-05-30,Personal,Pocket Money (Jamie),-40,Gpat
2017-05-31,Food,Groceries,81.12,Aldi
2017-05-31,Food,Groceries,71.41,Sam's
2017-05-31,Food,Groceries,13.21,Walmart -
2017-06-01,Clothing,Jamie (Clothing),14,Walmart -
2017-06-01,Housing,Rent,"1,037.00",Rent
2017-06-03,Food,Restaurants,20,Hibachi Grill
2017-06-03,Transportation,Gas & Oil,22.68,Kroger
2017-06-03,Food,Groceries,31.49,Aldi
2017-06-04,Recreational,Weddings,-144.74,Michael - Hotel - CL Wedding
2017-06-04,Transportation,Gas & Oil,21.04,Gas - Kingston Food Market
2017-06-04,Clothing,Darren (Clothing),54.84,Nike - Outlets
2017-06-04,Food,Restaurants,16.73,Pelanchos
2017-06-04,Clothing,Darren (Clothing),14.59,Asics - shorts
2017-06-04,Food,Groceries,4,Walmart - artichoke
2017-06-04,Personal,Miscellaneous,90.63,Hiking Stuff
2017-06-04,Personal,Pocket Money (Jamie),15.37,Autographed Book
2017-06-04,Personal,Miscellaneous,13.95,Amazon
2017-06-05,Clothing,Jamie (Clothing),6.57,Walmart - Shorts
2017-06-05,Utilities,Internet,43.42,Comcast
2017-06-05,Personal,Miscellaneous,4.99,Amazon
2017-06-06,Utilities,Electricity,74.3,KUB
2017-06-06,Personal,Gifts (Including Christmas),6.98,York Photo
2017-06-06,Food,Groceries,6.76,Amazon
2017-06-07,Food,Groceries,5.75,Aldi
2017-06-08,Personal,Miscellaneous,35.99,D - Wedding Ring
2017-06-08,Transportation,Gas & Oil,18.92,Kroger
2017-06-09,Food,Groceries,11.73,Sams
2017-06-09,Food,Groceries,30.34,Walmart
2017-06-09,Personal,Gifts (Including Christmas),9.8,Walmart - Stamps
2017-06-09,Food,Restaurants,6.53,Cookout
2017-06-11,Food,Groceries,7.02,Walmart - Chocolate
2017-06-12,Food,Restaurants,2.72,McDonalds
2017-06-12,Food,Groceries,7.77,McDonalds
2017-06-13,Utilities,Water,74.98,Water
2017-06-14,Food,Groceries,5.45,Kroger
2017-06-14,Transportation,Gas & Oil,26.42,Gas - Kingston Food Market
2017-06-15,Food,Groceries,41.99,Sam's
2017-06-15,Food,Groceries,29.68,Walmart
2017-06-15,Food,Groceries,91.28,Aldi
2017-06-15,Personal,Pocket Money (Jamie),7,Hollar
2017-06-15,Personal,Pocket Money (Jamie),1,Dollar Shave Club
2017-06-16,Personal,Pocket Money (Darren),1,Dollar Shave Club
2017-06-16,Food,Groceries,5,Food - Walmart
2017-06-16,Personal,Pet Supplies,14,Litter - Walmart
2017-06-16,Personal,Cosmetics / Hair Care,14.25,Cosmetics - Walmart
2017-06-17,Food,Restaurants,18.27,Pelanchos
2017-06-17,Personal,Pocket Money (Jamie),-25,Hope and Jeff
2017-06-17,Personal,Pocket Money (Darren),-25,Hope and Jeff
2017-06-18,Clothing,Darren (Clothing),55.45,Columbia Sports
2017-06-18,Personal,Pocket Money (Jamie),10.21,Amazon - Go Girl
2017-06-18,Clothing,Jamie (Clothing),13.79,Banana Republic
2017-06-18,Clothing,Jamie (Clothing),27.85,Banana Republic
2017-06-19,Personal,Pocket Money (Darren),5.55,Uber
2017-06-19,Personal,Pocket Money (Jamie),5.55,Uber
2017-06-19,Personal,Miscellaneous,4.37,Dollar Tree
2017-06-19,Personal,Books / Supplies,55.4,Amazon - assorted
2017-06-19,Clothing,Jamie (Clothing),52.72,BR - Jamie
2017-06-19,Utilities,Phone / Mobile,72,BR - Cindy
2017-06-19,Clothing,Jamie (Clothing),-12.45,BR - refund
2017-06-19,Personal,Pocket Money (Jamie),12.13,Amazon - Ethnos
2017-06-19,Transportation,Gas & Oil,15.81,Gas
2017-06-19,Personal,Pocket Money (Darren),12,Hollar
2017-06-19,Personal,Gifts (Including Christmas),19.05,Amazon - Wesley's Present
2017-06-20,Personal,Pocket Money (Jamie),36.93,Forever 21
2017-06-22,Personal,Pocket Money (Jamie),16.37,Rack Room
2017-06-22,Personal,Pocket Money (Jamie),25,Amazon - Bag
2017-06-23,Food,Groceries,4.35,Walmart
2017-06-23,Recreational,Weddings,16.38,Rack Room
2017-06-25,Transportation,Gas & Oil,17.28,Pilot
2017-06-25,Clothing,Jamie (Clothing),6.79,Banana Republic
2017-06-26,Food,Groceries,25.81,Walmart
2017-06-26,Personal,Pocket Money (Jamie),113.58,Nike
2017-06-26,Personal,Books / Supplies,13.96,Audible - Jamie's Book
2017-06-26,Personal,Pocket Money (Darren),2.75,Hollar
2017-06-27,Transportation,Gas & Oil,8.48,Pilot
2017-06-27,Food,Restaurants,19,Pelanchos
2017-06-27,Food,Groceries,15.31,Walmart
2017-06-28,Transportation,Gas & Oil,21.43,Pilot
2017-06-28,Food,Restaurants,4.26,Aramark - Panda
2017-06-30,Personal,Pocket Money (Jamie),-19.9,Amazon
2017-06-30,Transportation,Gas & Oil,24.01,Kroger
2017-06-30,Food,Groceries,14.14,Kroger
2017-06-30,Food,Restaurants,17.54,Olive Garden
2017-06-30,Recreational,Weddings,35,Banana Republic
2017-06-30,Personal,Miscellaneous,20,
2017-06-30,Personal,Miscellaneous,43.6,
2017-06-30,Personal,Miscellaneous,10,Ornament
2017-06-30,Personal,Miscellaneous,26.29,
2017-06-30,Medical / Health,Medications,9.64,Amazon - Lysine
2017-07-02,Transportation,Gas & Oil,20.81,Kroger - Gas
2017-07-02,Personal,Pet Supplies,94.7,Walmart - Litter
2017-07-02,Personal,Miscellaneous,2.08,Walmart - Toothbrushes
2017-07-03,Personal,Pocket Money (Darren),13.49,Valve
2017-07-03,Food,Restaurants,13.09,Cook Out
2017-07-03,Personal,Pocket Money (Jamie),33,CCF Childfund
2017-07-03,Food,Restaurants,3.62,Racetrack - Coffee
2017-07-05,Utilities,Internet,38.84,Comcast
2017-07-05,Food,Restaurants,10.9,Cook Out
2017-07-05,Food,Restaurants,82,Takara Sushi
2017-07-05,Food,Restaurants,13.92,Chick-fil-A
2017-07-06,Personal,Pocket Money (Darren),10,Venmo - Fireworks
2017-07-06,Food,Groceries,21.68,Walmart - Logan
2017-07-06,Personal,Gifts (Including Christmas),23.42,TJ Maxx
2017-07-06,Food,Groceries,7.7,Walmart
2017-07-06,Food,Groceries,-13.05,Walmart
2017-07-06,Utilities,Water,80.05,Utilities - Water
2017-07-07,Food,Restaurants,6.76,McDonalds
2017-07-10,Utilities,Electricity,90.11,KUB
2017-07-10,Transportation,Gas & Oil,20.71,Kroger - Gas
2017-07-10,Food,Restaurants,12.28,Chick-fil-A
2017-07-10,Food,Restaurants,6.69,McDonalds
2017-07-10,Food,Restaurants,8.58,Aggie Icecream
2017-07-10,Food,Restaurants,45,Takara Sushi
2017-07-11,Food,Groceries,35.16,Walmart
2017-07-11,Food,Groceries,75.5,ALDI
2017-07-11,Food,Groceries,56.69,Sams Club
2017-07-11,Personal,Pocket Money (Jamie),146.79,Amazon - Fitbit
2017-07-11,Housing,Rent,722.23,July Rent
2017-07-12,Personal,Gifts (Including Christmas),45.01,Kirklands - Anniversary
2017-07-12,Food,Groceries,10.94,ALDI
2017-07-13,Personal,Pocket Money (Jamie),15.99,Amazon - Fitbit Band
2017-07-13,Personal,Pocket Money (Darren),8.75,Casual Pint
2017-07-14,Insurance,Renter's Insurance,163,AGI Renters
2017-07-16,Food,Groceries,4.58,Walmart
2017-07-16,Food,Restaurants,16,Pelanchos
2017-07-17,Personal,Pocket Money (Darren),3,Dollar Shave
2017-07-17,Clothing,Jamie (Clothing),6,Dollar Shave
2017-07-18,Food,Restaurants,27.1,The Casual Pint
